number,state,createdAt,mergedAt,closedAt,org,repo,title,additions,deletions,changedFiles,commits,comments,reviews,baseRef,headRef,url
914,"MERGED","2023-06-08T22:20:44Z","2023-06-12T15:38:07Z","2023-06-12T15:38:07Z","integrations","translator","fix(liquid): BaltimorePd Crash Integration add codetables",31174,2335,11,9,0,3,"master","aroethe/bcpd-off-cycle","https://git.taservs.net/integrations/translator/pull/914"
167,"MERGED","2023-06-08T22:19:26Z","2023-06-12T15:25:16Z","2023-06-12T15:25:16Z","integrations","DBScripts","fix(codetables): BaltimorePd Crash",824,170,1,5,0,1,"master","aroethe/bcpd-off-cycle","https://git.taservs.net/integrations/DBScripts/pull/167"
897,"MERGED","2023-06-02T19:38:12Z","2023-06-15T19:40:47Z","2023-06-15T19:40:47Z","integrations","translator","fix(liquid): add duplicateCheckConfiguration and update offense path",130,66,6,11,0,5,"master","aroethe/vbpd-citaion-fix","https://git.taservs.net/integrations/translator/pull/897"
156,"MERGED","2023-06-02T17:28:15Z","2023-06-13T17:07:39Z","2023-06-13T17:07:39Z","integrations","DBScripts","aroethe/VirginiaBeachPd Citation config",8,0,1,15,0,4,"master","aroethe/VirginiaBeachPd_Citation-config","https://git.taservs.net/integrations/DBScripts/pull/156"
10,"MERGED","2023-05-30T19:47:47Z","2023-05-30T23:24:33Z","2023-05-30T23:24:33Z","Software-Services-CSE","Integrations-Testing","fix: UAT feedback update",90,32,5,6,0,0,"master","aroethe/mysql-setup-instructions","https://git.taservs.net/Software-Services-CSE/Integrations-Testing/pull/10"
16,"MERGED","2023-05-25T22:04:03Z","2023-06-12T19:58:24Z","2023-06-12T19:58:24Z","Software-Services-CSE","Integrations-Functions","feat: merge KingCityPd CFS from stand alone subscriptions",370,18,5,12,0,4,"master","aroethe/kingcity-cfs","https://git.taservs.net/Software-Services-CSE/Integrations-Functions/pull/16"
8,"MERGED","2023-05-25T01:03:26Z","2023-05-25T01:03:53Z","2023-05-25T01:03:53Z","Software-Services-CSE","Integrations-Testing","feat(logging): Add system wide logging config",63,39,3,2,0,0,"master","aroethe/logging","https://git.taservs.net/Software-Services-CSE/Integrations-Testing/pull/8"
7,"MERGED","2023-05-24T21:57:12Z","2023-05-25T00:36:54Z","2023-05-25T00:36:54Z","Software-Services-CSE","Integrations-Testing","refactor: separate code into domains",446,379,8,4,0,0,"master","aroethe/update-setup","https://git.taservs.net/Software-Services-CSE/Integrations-Testing/pull/7"
6,"MERGED","2023-05-24T21:38:15Z","2023-05-24T21:38:53Z","2023-05-24T21:38:53Z","Software-Services-CSE","Integrations-Testing","docs: contribution guide",34,3,1,2,0,0,"master","aroethe/update-readme","https://git.taservs.net/Software-Services-CSE/Integrations-Testing/pull/6"
5,"MERGED","2023-05-24T16:00:55Z","2023-05-24T16:15:25Z","2023-05-24T16:15:25Z","Software-Services-CSE","Integrations-Testing","docs(readme): Update Install instructions ",296,13,4,3,0,0,"master","aroethe/update-readme","https://git.taservs.net/Software-Services-CSE/Integrations-Testing/pull/5"
